"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986/1987","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","22045596","","","","0"
"1987/1988","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","23102315","","","","0"
"1988/1989","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","25492549","","","","0"
"1989/1990","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","27008188","","","","0"
"1990/1991","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","29340368","","","","0"
"1991/1992","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","32004992","","","","0"
"1992/1993","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","33249519","","","","0"
"1993/1994","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","33965981","","","","0"
"1994/1995","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","34211856","","","","0"
"1995/1996","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","34629101","","","","0"
"1996/1997","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","34920840","","","","0"
"1997/1998","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","35179659","","","","0"
"1998/1999","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","36651581","","","","0"
"1999/2000","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","37156638","","","","0"
"2000/2001","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","37885845","","","","0"
"2001/2002","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","39719042","","","","0"
"2002/2003","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","40948469","","","","0"
"2003/2004","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","42665509","","","","0"
"2004/2005","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","45421940","","","","0"
"2005/2006","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","47432820","","","","0"
"2006/2007","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","50105473","","","","0"
"2007/2008","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","52244764","","","","0"
"2008/2009","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","55198663","","","","0"
"2009/2010","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","58053927","","","","0"
"2010/2011","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","59927089","","","","0"
"2011/2012","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","61023064","","","","0"
"2012/2013","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","62844852","","","","0"
"2013/2014","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","64157820","","","","0"
"2014/2015","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","65844063","","","","0"
"2015/2016","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","67956491","","","","0"
"2016/2017","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","69833671","","","","0"
"2017/2018","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","73086940","","","","0"
"2018/2019","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","75180008","","","","0"
"2019/2020","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","74727338","","","","0"
"2020/2021","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","81506318","","","","0"
"1954/1955","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","21204","","","","0"
"1955/1956","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","22558","","","","0"
"1956/1957","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","34131","","","","0"
"1957/1958","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","40570","","","","0"
"1958/1959","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","42472","","","","0"
"1959/1960","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","47598","","","","0"
"1960/1961","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","54230","","","","0"
